x y z
-1.328 1.274 -0.446
-1.329 1.274 -0.444
-1.330 1.274 -0.443
-1.331 1.274 -0.442
-1.332 1.274 -0.440
-1.332 1.274 -0.439
-1.333 1.273 -0.438
-1.333 1.273 -0.437
-1.334 1.273 -0.435
-1.335 1.273 -0.434
-1.335 1.273 -0.432
-1.336 1.273 -0.431
-1.337 1.273 -0.430
-1.337 1.273 -0.428
-1.338 1.273 -0.427
-1.338 1.273 -0.426
-1.339 1.272 -0.424
-1.340 1.272 -0.423
-1.340 1.272 -0.421
-1.341 1.271 -0.420
-1.342 1.271 -0.419
-1.343 1.271 -0.417
-1.343 1.271 -0.416
-1.344 1.270 -0.415
-1.345 1.270 -0.413
-1.346 1.269 -0.412
-1.347 1.269 -0.411
-1.347 1.269 -0.409
-1.348 1.268 -0.408
-1.348 1.268 -0.407
-1.349 1.268 -0.405
-1.349 1.268 -0.404
-1.350 1.268 -0.403
-1.350 1.268 -0.401
-1.350 1.268 -0.400
-1.351 1.268 -0.398
-1.352 1.268 -0.398
-1.352 1.268 -0.396
-1.353 1.268 -0.395
-1.354 1.268 -0.394
-1.354 1.268 -0.393
-1.355 1.268 -0.392
-1.356 1.268 -0.390
-1.356 1.268 -0.389
-1.357 1.268 -0.388
-1.358 1.268 -0.387
-1.358 1.268 -0.386
-1.358 1.268 -0.384
-1.359 1.268 -0.383
-1.359 1.268 -0.382
-1.359 1.268 -0.381
-1.359 1.269 -0.380
-1.360 1.269 -0.378
-1.360 1.269 -0.377
-1.360 1.269 -0.376
-1.360 1.269 -0.375
-1.361 1.269 -0.374
-1.361 1.269 -0.373
-1.361 1.269 -0.372
-1.362 1.269 -0.371
-1.362 1.270 -0.370
-1.362 1.269 -0.369
-1.362 1.270 -0.368
-1.363 1.270 -0.367
-1.363 1.270 -0.366
-1.363 1.271 -0.365
-1.363 1.271 -0.364
-1.364 1.271 -0.363
-1.364 1.272 -0.362
-1.365 1.272 -0.362
-1.365 1.273 -0.361
-1.365 1.273 -0.360
-1.365 1.274 -0.359
-1.365 1.275 -0.358
-1.364 1.276 -0.357
-1.363 1.277 -0.356
-1.361 1.278 -0.355
-1.359 1.279 -0.354
-1.357 1.281 -0.354
-1.355 1.283 -0.353
-1.352 1.285 -0.353
-1.349 1.287 -0.352
-1.346 1.289 -0.352
-1.343 1.291 -0.352
-1.339 1.294 -0.351
-1.335 1.297 -0.351
-1.331 1.300 -0.351
-1.327 1.303 -0.351
-1.322 1.306 -0.351
-1.318 1.309 -0.351
-1.313 1.312 -0.350
-1.309 1.315 -0.350
-1.304 1.318 -0.350
-1.299 1.321 -0.349
-1.294 1.324 -0.349
-1.289 1.327 -0.348
-1.284 1.330 -0.348
-1.279 1.333 -0.348
-1.274 1.336 -0.347
-1.269 1.339 -0.347
-1.263 1.342 -0.346
-1.258 1.345 -0.346
-1.253 1.348 -0.345
-1.247 1.351 -0.345
-1.242 1.354 -0.345
-1.236 1.358 -0.344
-1.231 1.361 -0.344
-1.225 1.364 -0.344
-1.219 1.368 -0.343
-1.213 1.371 -0.343
-1.207 1.375 -0.343
-1.201 1.378 -0.343
