x y z
-1.774 -0.241 -0.662
-1.774 -0.240 -0.661
-1.773 -0.240 -0.659
-1.773 -0.240 -0.658
-1.773 -0.239 -0.657
-1.772 -0.239 -0.656
-1.772 -0.239 -0.654
-1.772 -0.238 -0.653
-1.772 -0.238 -0.652
-1.772 -0.237 -0.650
-1.771 -0.237 -0.649
-1.771 -0.236 -0.648
-1.770 -0.236 -0.646
-1.770 -0.235 -0.645
-1.770 -0.235 -0.644
-1.770 -0.235 -0.642
-1.769 -0.234 -0.641
-1.769 -0.234 -0.639
-1.769 -0.234 -0.638
-1.769 -0.234 -0.636
-1.768 -0.233 -0.635
-1.768 -0.233 -0.634
-1.767 -0.233 -0.632
-1.767 -0.233 -0.631
-1.766 -0.233 -0.629
-1.765 -0.233 -0.628
-1.765 -0.233 -0.626
-1.764 -0.233 -0.625
-1.764 -0.233 -0.623
-1.763 -0.233 -0.621
-1.763 -0.233 -0.620
-1.763 -0.232 -0.619
-1.763 -0.232 -0.618
-1.763 -0.232 -0.617
-1.763 -0.231 -0.615
-1.762 -0.231 -0.614
-1.761 -0.231 -0.612
-1.760 -0.231 -0.610
-1.760 -0.231 -0.609
-1.759 -0.231 -0.607
-1.758 -0.231 -0.606
-1.758 -0.231 -0.604
-1.757 -0.232 -0.603
-1.758 -0.232 -0.601
-1.757 -0.232 -0.600
-1.756 -0.232 -0.599
-1.756 -0.232 -0.597
-1.754 -0.232 -0.596
-1.754 -0.232 -0.594
-1.754 -0.232 -0.592
-1.753 -0.232 -0.591
-1.752 -0.232 -0.589
-1.751 -0.232 -0.587
-1.751 -0.232 -0.586
-1.750 -0.232 -0.585
-1.750 -0.232 -0.583
-1.749 -0.232 -0.582
-1.749 -0.232 -0.581
-1.748 -0.232 -0.580
-1.747 -0.232 -0.579
-1.747 -0.232 -0.578
-1.747 -0.232 -0.576
-1.746 -0.233 -0.575
-1.745 -0.232 -0.574
-1.745 -0.233 -0.572
-1.744 -0.233 -0.571
-1.744 -0.233 -0.570
-1.743 -0.233 -0.569
-1.742 -0.233 -0.567
-1.741 -0.232 -0.566
-1.740 -0.232 -0.565
-1.738 -0.232 -0.564
-1.735 -0.231 -0.563
-1.732 -0.231 -0.562
-1.729 -0.231 -0.561
-1.724 -0.230 -0.560
-1.720 -0.230 -0.559
-1.715 -0.230 -0.558
-1.710 -0.230 -0.558
-1.704 -0.230 -0.557
-1.699 -0.230 -0.557
-1.693 -0.230 -0.556
-1.688 -0.230 -0.556
-1.682 -0.229 -0.556
-1.675 -0.229 -0.557
-1.669 -0.228 -0.557
-1.662 -0.228 -0.557
-1.655 -0.227 -0.557
-1.649 -0.227 -0.557
-1.643 -0.227 -0.557
-1.636 -0.227 -0.557
-1.629 -0.227 -0.557
-1.622 -0.226 -0.558
-1.615 -0.226 -0.558
-1.607 -0.226 -0.558
-1.599 -0.225 -0.559
-1.592 -0.225 -0.559
-1.584 -0.225 -0.560
-1.577 -0.224 -0.561
-1.569 -0.224 -0.561
-1.561 -0.223 -0.562
-1.553 -0.223 -0.563
-1.545 -0.223 -0.564
-1.537 -0.222 -0.564
-1.529 -0.222 -0.565
-1.521 -0.222 -0.566
-1.512 -0.222 -0.567
-1.504 -0.222 -0.568
-1.496 -0.222 -0.569
-1.487 -0.222 -0.570
-1.478 -0.222 -0.571
-1.469 -0.222 -0.572
-1.461 -0.222 -0.573
-1.452 -0.222 -0.574
-1.443 -0.223 -0.575
-1.434 -0.223 -0.576
-1.425 -0.223 -0.577
-1.416 -0.223 -0.578
-1.407 -0.223 -0.580
-1.398 -0.223 -0.581
-1.388 -0.223 -0.582
-1.379 -0.223 -0.583
-1.369 -0.224 -0.584
-1.360 -0.224 -0.586
-1.350 -0.224 -0.587
-1.340 -0.224 -0.588
-1.331 -0.224 -0.589
-1.321 -0.224 -0.591
-1.311 -0.224 -0.592
-1.301 -0.225 -0.593
-1.291 -0.225 -0.595
-1.281 -0.225 -0.596
-1.271 -0.225 -0.597
-1.261 -0.225 -0.598
-1.251 -0.225 -0.600
-1.241 -0.225 -0.601
-1.231 -0.226 -0.602
-1.220 -0.226 -0.604
-1.210 -0.226 -0.605
-1.200 -0.226 -0.606
-1.189 -0.227 -0.608
-1.179 -0.227 -0.609
-1.169 -0.227 -0.610
-1.158 -0.227 -0.612
-1.148 -0.227 -0.613
-1.137 -0.227 -0.614
-1.127 -0.227 -0.616
-1.117 -0.228 -0.617
-1.108 -0.228 -0.618
-1.101 -0.229 -0.619
-1.096 -0.230 -0.620
-1.094 -0.231 -0.621
-1.094 -0.231 -0.622
-1.096 -0.232 -0.624
-1.100 -0.233 -0.626
-1.104 -0.234 -0.628
-1.109 -0.235 -0.630
-1.113 -0.235 -0.632
-1.117 -0.236 -0.634
-1.119 -0.236 -0.635
-1.121 -0.237 -0.636
-1.123 -0.237 -0.638
-1.124 -0.238 -0.638
-1.126 -0.238 -0.639
-1.127 -0.238 -0.640
-1.128 -0.238 -0.640
-1.128 -0.239 -0.640
-1.129 -0.239 -0.641
-1.129 -0.239 -0.641
-1.129 -0.240 -0.641
-1.129 -0.240 -0.641
-1.128 -0.240 -0.640
-1.128 -0.241 -0.640
-1.127 -0.241 -0.640
-1.126 -0.242 -0.639
-1.125 -0.242 -0.639
-1.124 -0.242 -0.638
-1.123 -0.242 -0.638
-1.122 -0.243 -0.637
-1.121 -0.243 -0.636
-1.119 -0.244 -0.636
-1.118 -0.244 -0.635
-1.116 -0.245 -0.634
-1.114 -0.245 -0.633
-1.113 -0.245 -0.632
-1.111 -0.246 -0.631
-1.109 -0.246 -0.630
-1.108 -0.247 -0.629
-1.106 -0.247 -0.628
-1.104 -0.248 -0.626
-1.102 -0.248 -0.625
-1.100 -0.248 -0.624
-1.099 -0.249 -0.623
-1.097 -0.250 -0.621
-1.095 -0.250 -0.620
-1.094 -0.251 -0.619
-1.092 -0.251 -0.618
-1.090 -0.252 -0.617
-1.089 -0.253 -0.615
-1.087 -0.253 -0.614
-1.086 -0.254 -0.613
-1.084 -0.255 -0.612
-1.083 -0.255 -0.611
-1.081 -0.256 -0.610
-1.080 -0.257 -0.609
-1.079 -0.257 -0.608
-1.078 -0.258 -0.607
-1.077 -0.258 -0.606
-1.076 -0.259 -0.605
-1.075 -0.259 -0.604
-1.074 -0.259 -0.604
-1.073 -0.260 -0.603
-1.073 -0.260 -0.603
-1.072 -0.260 -0.602
-1.072 -0.260 -0.601
-1.071 -0.260 -0.601
-1.071 -0.261 -0.601
-1.071 -0.261 -0.600
-1.070 -0.261 -0.600
-1.070 -0.261 -0.600
-1.070 -0.261 -0.600
-1.070 -0.262 -0.599
-1.070 -0.262 -0.599
-1.070 -0.262 -0.599
-1.070 -0.262 -0.599
-1.070 -0.262 -0.599
-1.070 -0.262 -0.599
-1.070 -0.262 -0.599
-1.071 -0.262 -0.599
-1.071 -0.263 -0.599
-1.071 -0.263 -0.599
-1.071 -0.263 -0.599
-1.071 -0.263 -0.599
-1.071 -0.263 -0.599
-1.071 -0.263 -0.599
-1.071 -0.263 -0.598
-1.071 -0.263 -0.598
-1.071 -0.263 -0.598
-1.071 -0.263 -0.598
-1.071 -0.263 -0.598
-1.071 -0.263 -0.597
-1.072 -0.263 -0.597
-1.072 -0.263 -0.597
-1.072 -0.263 -0.597
-1.072 -0.262 -0.596
-1.071 -0.262 -0.596
-1.071 -0.262 -0.595
-1.071 -0.262 -0.595
-1.070 -0.262 -0.594
-1.070 -0.262 -0.593
-1.069 -0.262 -0.593
-1.069 -0.262 -0.592
-1.068 -0.261 -0.591
-1.067 -0.261 -0.590
-1.066 -0.261 -0.590
-1.065 -0.261 -0.589
-1.064 -0.262 -0.588
-1.063 -0.262 -0.587
-1.062 -0.262 -0.586
-1.061 -0.262 -0.585
-1.060 -0.262 -0.584
-1.059 -0.262 -0.583
-1.058 -0.263 -0.582
-1.056 -0.263 -0.581
-1.055 -0.263 -0.580
-1.054 -0.263 -0.579
-1.053 -0.263 -0.578
-1.052 -0.263 -0.577
-1.051 -0.264 -0.576
-1.049 -0.264 -0.574
-1.048 -0.264 -0.573
-1.047 -0.264 -0.572
-1.046 -0.265 -0.571
-1.044 -0.265 -0.570
-1.043 -0.265 -0.569
-1.042 -0.265 -0.567
-1.041 -0.266 -0.566
-1.040 -0.266 -0.565
-1.039 -0.266 -0.564
-1.037 -0.266 -0.563
-1.036 -0.267 -0.562
-1.035 -0.267 -0.561
-1.034 -0.267 -0.560
-1.033 -0.267 -0.558
-1.032 -0.268 -0.557
-1.031 -0.268 -0.557
-1.030 -0.269 -0.556
